split,condition,preprocessing,method,seed,selection,target,metric,value
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_transformed,0.99999999999999978
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_original_units,0.26064248385774058
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_0,reconstruction_mse_original_units,0.77890406190960038
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_1,reconstruction_mse_original_units,0.47579701435250377
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_2,reconstruction_mse_original_units,0.06433780552613122
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_3,reconstruction_mse_original_units,0.074109615024433764
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_4,reconstruction_mse_original_units,0.089690682088683651
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_5,reconstruction_mse_original_units,0.081015724245090848
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_mean,0
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_variance,0
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_range,0
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_dead_or_collapsed,1
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,absolute_pearson_code_s,0
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,absolute_spearman_code_s,0
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,s_distance_threshold,0.5
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,code_distance_fraction_of_range,0.050000000000000003
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,code_range,9.9999999999999998e-13
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,candidate_pair_count,51040
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,qualifying_close_code_pair_count,51040
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,collision_pair_count,35737
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,collision_fraction_of_close_code_pairs,0.70017633228840126
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,code_collision_rate,0.70017633228840126
train,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,noiseless_generator,reconstruction_mse_original_units,0.255900700907436
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_transformed,0.96411942451769816
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_original_units,0.25700055383902892
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_0,reconstruction_mse_original_units,0.79356385931018159
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_1,reconstruction_mse_original_units,0.45552175216734014
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_2,reconstruction_mse_original_units,0.067098703960736944
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_3,reconstruction_mse_original_units,0.06812553824136923
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_4,reconstruction_mse_original_units,0.083856737033109183
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_5,reconstruction_mse_original_units,0.073836732321436699
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_mean,0
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_variance,0
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_range,0
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_dead_or_collapsed,1
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,absolute_pearson_code_s,0
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,absolute_spearman_code_s,0
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,s_distance_threshold,0.5
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,code_distance_fraction_of_range,0.050000000000000003
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,code_range,9.9999999999999998e-13
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,candidate_pair_count,12720
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,qualifying_close_code_pair_count,12720
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,collision_pair_count,8897
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s_simulation_diagnostic,collision_fraction_of_close_code_pairs,0.69944968553459119
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,generator_parameter_s,code_collision_rate,0.69944968553459119
validation,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,noiseless_generator,reconstruction_mse_original_units,0.24955017589501874
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_transformed,0.96628944130797956
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,observations,reconstruction_mse_original_units,0.25159679774841592
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_0,reconstruction_mse_original_units,0.76015003568773243
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_1,reconstruction_mse_original_units,0.45208192718090184
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_2,reconstruction_mse_original_units,0.069559173321222315
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_3,reconstruction_mse_original_units,0.065844085838511826
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_4,reconstruction_mse_original_units,0.081171931956137033
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,feature_5,reconstruction_mse_original_units,0.08077363250599022
test,nominal_curved,training_only_feature_standardization,mean,deterministic,deterministic_fit,code_d1,code_mean,0
