split,condition,method,target,region,metric,value
test,primary,oracle_gpfa_true_tau,observation_distribution,complete_trial,marginal_nll_per_entry,0.94688762727102316
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_channel,predictive_nll_per_entry,0.64593803262342186
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_channel,predictive_rmse,0.46801175990940769
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_channel,predictive_95_coverage,0.9375
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_channel,mean_predictive_variance,0.18964652590248152
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_channel,hidden_target_count,48
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_block,predictive_nll_per_entry,0.85791963982363872
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_block,predictive_rmse,0.78005770509078121
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_block,predictive_95_coverage,0.93650793650793651
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_block,mean_predictive_variance,0.60167736092928181
test,primary,oracle_gpfa_true_tau,masked_observation_prediction,masked_block,hidden_target_count,126
test,primary,oracle_gpfa_true_tau,latent_posterior,all,latent_rmse,0.33036437186033524
test,primary,oracle_gpfa_true_tau,latent_posterior,all,latent_95_coverage,0.95833333333333337
test,primary,oracle_gpfa_true_tau,latent_posterior,all,mean_posterior_variance,0.10425032266647012
test,primary,oracle_gpfa_true_tau,latent_posterior,all,posterior_roughness,0.1032533942661971
test,primary,oracle_gpfa_true_tau,latent_posterior,masked_time_region,latent_rmse,0.62415761132356418
test,primary,oracle_gpfa_true_tau,latent_posterior,masked_time_region,latent_95_coverage,0.95238095238095233
test,primary,oracle_gpfa_true_tau,latent_posterior,unmasked_time_region,latent_rmse,0.22283406391677751
test,primary,oracle_gpfa_true_tau,latent_posterior,unmasked_time_region,latent_95_coverage,0.95959595959595956
test,primary,selected_tau_gpfa,observation_distribution,complete_trial,marginal_nll_per_entry,0.94688762727102316
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_channel,predictive_nll_per_entry,0.64593803262342186
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_channel,predictive_rmse,0.46801175990940769
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_channel,predictive_95_coverage,0.9375
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_channel,mean_predictive_variance,0.18964652590248152
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_channel,hidden_target_count,48
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_block,predictive_nll_per_entry,0.85791963982363872
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_block,predictive_rmse,0.78005770509078121
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_block,predictive_95_coverage,0.93650793650793651
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_block,mean_predictive_variance,0.60167736092928181
test,primary,selected_tau_gpfa,masked_observation_prediction,masked_block,hidden_target_count,126
test,primary,selected_tau_gpfa,latent_posterior,all,latent_rmse,0.33036437186033524
test,primary,selected_tau_gpfa,latent_posterior,all,latent_95_coverage,0.95833333333333337
test,primary,selected_tau_gpfa,latent_posterior,all,mean_posterior_variance,0.10425032266647012
test,primary,selected_tau_gpfa,latent_posterior,all,posterior_roughness,0.1032533942661971
test,primary,selected_tau_gpfa,latent_posterior,masked_time_region,latent_rmse,0.62415761132356418
test,primary,selected_tau_gpfa,latent_posterior,masked_time_region,latent_95_coverage,0.95238095238095233
test,primary,selected_tau_gpfa,latent_posterior,unmasked_time_region,latent_rmse,0.22283406391677751
test,primary,selected_tau_gpfa,latent_posterior,unmasked_time_region,latent_95_coverage,0.95959595959595956
