domain,condition,split,method,target,metric,value
hairpin,nominal,train,isomap_graph,arc_length,edge_count,622
hairpin,nominal,train,isomap_graph,arc_length,long_arc_separation_edge_count,0
hairpin,nominal,train,isomap_graph,arc_length,long_arc_separation_edge_rate,0
hairpin,nominal,train,isomap_graph,arc_length,long_arc_separation_threshold,0.69999999999999996
hairpin,nominal,train,isomap_graph,arc_length,long_arc_separation_denominator_edges,622
hairpin,nominal,train,isomap_graph,arc_length,material_path_shortcut_count,0
hairpin,nominal,train,isomap_graph,arc_length,material_path_shortcut_rate,0
hairpin,nominal,train,isomap_graph,arc_length,material_path_shortcut_underestimation_threshold,0.5
hairpin,nominal,train,isomap_graph,arc_length,material_path_shortcut_denominator_edges,622
hairpin,nominal,train,isomap_graph,arc_length,graph_distance_relative_rmse,0.0085166536433016887
hairpin,nominal,train,isomap_graph,arc_length,graph_distance_correlation,0.99989924009932019
hairpin,nominal,train,isomap_graph,arc_length,component_count,1
hairpin,nominal,train,isomap_graph,arc_length,finite_pair_count,16110
hairpin,nominal,train,isomap_graph,arc_length,infinite_pair_count,0
hairpin,nominal,train,ambient_cmds,mds,negative_eigenmass,4.9190142592330347e-13
hairpin,nominal,train,ambient_cmds,mds,strain,0.02958644192068826
hairpin,nominal,train,isomap,mds,negative_eigenmass,0.29012369262784377
hairpin,nominal,train,isomap,mds,strain,0.0025865353922783687
hairpin,nominal,train,pca,affine_aligned_arc_length,coordinate_rmse,1.8334695661099631
hairpin,nominal,validation,pca,affine_aligned_arc_length,coordinate_rmse,1.7082902177187307
hairpin,nominal,test,pca,affine_aligned_arc_length,coordinate_rmse,1.6398078937049132
hairpin,nominal,train,ambient_cmds,affine_aligned_arc_length,coordinate_rmse,1.8334695661099631
hairpin,nominal,validation,ambient_cmds,affine_aligned_arc_length,coordinate_rmse,1.7082902177187309
hairpin,nominal,test,ambient_cmds,affine_aligned_arc_length,coordinate_rmse,1.6398078937049132
hairpin,nominal,train,isomap,affine_aligned_arc_length,coordinate_rmse,0.014898831767834015
hairpin,nominal,validation,isomap,affine_aligned_arc_length,coordinate_rmse,0.015384698006811659
hairpin,nominal,test,isomap,affine_aligned_arc_length,coordinate_rmse,0.0176343686726321
hairpin,nominal,train,mean,arc_length,coordinate_rmse,1.8415541341400818
hairpin,nominal,validation,mean,arc_length,coordinate_rmse,1.6790365522341704
