split,condition,method,marginal,target,metric,value
population,balanced,generating_truth,time,noiseless_population_marginal,marginal_variance_fraction,0.19185741967632716
population,balanced,generating_truth,stimulus_time,noiseless_population_marginal,marginal_variance_fraction,0.42690351817491268
population,balanced,generating_truth,decision_time,noiseless_population_marginal,marginal_variance_fraction,0.3051759143188213
population,balanced,generating_truth,interaction_time,noiseless_population_marginal,marginal_variance_fraction,0.076063147829938949
train,balanced,condition_means,time,empirical_marginal,marginal_variance_fraction,0.19116656174133423
train,balanced,condition_means,time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.073726682885438211
train,balanced,condition_means,stimulus_time,empirical_marginal,marginal_variance_fraction,0.42093213413143704
train,balanced,condition_means,stimulus_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.033710885502527349
train,balanced,condition_means,decision_time,empirical_marginal,marginal_variance_fraction,0.30302013933293798
train,balanced,condition_means,decision_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.047396438887732942
train,balanced,condition_means,interaction_time,empirical_marginal,marginal_variance_fraction,0.08488116479429067
train,balanced,condition_means,interaction_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.18772318978054559
validation,balanced,condition_means,time,empirical_marginal,marginal_variance_fraction,0.1906475075113914
validation,balanced,condition_means,time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.15085456918705109
validation,balanced,condition_means,stimulus_time,empirical_marginal,marginal_variance_fraction,0.40769470773791022
validation,balanced,condition_means,stimulus_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.061967889427311011
validation,balanced,condition_means,decision_time,empirical_marginal,marginal_variance_fraction,0.31072804841634988
validation,balanced,condition_means,decision_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.084843073742142505
validation,balanced,condition_means,interaction_time,empirical_marginal,marginal_variance_fraction,0.090929736334348504
validation,balanced,condition_means,interaction_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.33356551550917735
test,balanced,condition_means,time,empirical_marginal,marginal_variance_fraction,0.19835097434791366
test,balanced,condition_means,time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.091422341067667529
test,balanced,condition_means,stimulus_time,empirical_marginal,marginal_variance_fraction,0.40689565126713007
test,balanced,condition_means,stimulus_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.047015121126884357
test,balanced,condition_means,decision_time,empirical_marginal,marginal_variance_fraction,0.30627101414653018
test,balanced,condition_means,decision_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.070495694070977721
test,balanced,condition_means,interaction_time,empirical_marginal,marginal_variance_fraction,0.088482360238426025
test,balanced,condition_means,interaction_time,noiseless_true_marginal,empirical_vs_truth_normalized_mse,0.23859675794689972
test,balanced,condition_mean_baseline,time,heldout_empirical_marginal,normalized_mse,0.16041776135577962
test,balanced,condition_mean_baseline,stimulus_time,heldout_empirical_marginal,normalized_mse,1
test,balanced,condition_mean_baseline,decision_time,heldout_empirical_marginal,normalized_mse,1
test,balanced,condition_mean_baseline,interaction_time,heldout_empirical_marginal,normalized_mse,1
test,balanced,condition_mean_baseline,all,heldout_condition_means,combined_reconstruction_normalized_mse,0.83346804491971638
test,balanced,global_pca,time,heldout_empirical_marginal,normalized_mse,0.059593200039793112
test,balanced,global_pca,stimulus_time,heldout_empirical_marginal,normalized_mse,0.030332747744075295
test,balanced,global_pca,decision_time,heldout_empirical_marginal,normalized_mse,0.048587351640761521
test,balanced,global_pca,interaction_time,heldout_empirical_marginal,normalized_mse,0.13132759841377065
test,balanced,global_pca,all,heldout_condition_means,combined_reconstruction_normalized_mse,0.0506637057742549
test,balanced,separate_marginal_pca,time,heldout_empirical_marginal,normalized_mse,0.081292273365057108
train,balanced,separate_marginal_pca,time,true_marginal_direction,principal_angle_degrees,3.0510849976957224
test,balanced,separate_marginal_pca,stimulus_time,heldout_empirical_marginal,normalized_mse,0.042078005193187579
train,balanced,separate_marginal_pca,stimulus_time,true_marginal_direction,principal_angle_degrees,1.9225160294355093
test,balanced,separate_marginal_pca,decision_time,heldout_empirical_marginal,normalized_mse,0.062596611156041385
train,balanced,separate_marginal_pca,decision_time,true_marginal_direction,principal_angle_degrees,1.9488779455258987
test,balanced,separate_marginal_pca,interaction_time,heldout_empirical_marginal,normalized_mse,0.17487644529735852
train,balanced,separate_marginal_pca,interaction_time,true_marginal_direction,principal_angle_degrees,3.3100035062033095
test,balanced,separate_marginal_pca,all,heldout_condition_means,combined_reconstruction_normalized_mse,0.067890767166932847
test,balanced,regularized_dpca,time,heldout_empirical_marginal,normalized_mse,0.1130168741045125
train,balanced,regularized_dpca,time,true_marginal_direction,principal_angle_degrees,3.1073781658427455
test,balanced,regularized_dpca,stimulus_time,heldout_empirical_marginal,normalized_mse,0.054198844091423781
train,balanced,regularized_dpca,stimulus_time,true_marginal_direction,principal_angle_degrees,1.9132102410803795
test,balanced,regularized_dpca,decision_time,heldout_empirical_marginal,normalized_mse,0.082377474130533757
train,balanced,regularized_dpca,decision_time,true_marginal_direction,principal_angle_degrees,1.9650282746870593
test,balanced,regularized_dpca,interaction_time,heldout_empirical_marginal,normalized_mse,0.2454063358208515
train,balanced,regularized_dpca,interaction_time,true_marginal_direction,principal_angle_degrees,3.4305662060405666
test,balanced,regularized_dpca,all,heldout_condition_means,combined_reconstruction_normalized_mse,0.05570776871402542
train,balanced,global_pca,all,span_of_all_true_marginal_directions,principal_subspace_angle_max_degrees,3.9189634005063225
test,balanced,separate_marginal_pca,time,true_time_input,raw_map_output_energy,16.428512999592918
test,balanced,separate_marginal_pca,time,true_time_input,decoder_score_energy,16.428512999592915
test,balanced,separate_marginal_pca,time,true_stimulus_time_input,raw_map_output_energy,1.8525710016237333
test,balanced,separate_marginal_pca,time,true_stimulus_time_input,decoder_score_energy,1.8525710016237342
test,balanced,separate_marginal_pca,time,true_decision_time_input,raw_map_output_energy,0.3905174898280056
test,balanced,separate_marginal_pca,time,true_decision_time_input,decoder_score_energy,0.3905174898280056
test,balanced,separate_marginal_pca,time,true_interaction_time_input,raw_map_output_energy,0.59017290351537155
test,balanced,separate_marginal_pca,time,true_interaction_time_input,decoder_score_energy,0.59017290351537155
test,balanced,separate_marginal_pca,time,true_time_input,normalized_confusion_fraction,0.85290755997187417
test,balanced,separate_marginal_pca,time,true_stimulus_time_input,normalized_confusion_fraction,0.096178626313209351
test,balanced,separate_marginal_pca,time,true_decision_time_input,normalized_confusion_fraction,0.020274221981246794
test,balanced,separate_marginal_pca,time,true_interaction_time_input,normalized_confusion_fraction,0.030639591733669671
test,balanced,separate_marginal_pca,time,true_marginal_inputs,assigned_marginal_fraction,0.85290755997187417
test,balanced,separate_marginal_pca,time,true_marginal_inputs,demixing_index,0.85290755997187417
test,balanced,separate_marginal_pca,stimulus_time,true_time_input,raw_map_output_energy,0.72996963680278659
test,balanced,separate_marginal_pca,stimulus_time,true_time_input,decoder_score_energy,0.72996963680278726
test,balanced,separate_marginal_pca,stimulus_time,true_stimulus_time_input,raw_map_output_energy,36.61781719798762
test,balanced,separate_marginal_pca,stimulus_time,true_stimulus_time_input,decoder_score_energy,36.617817197987641
test,balanced,separate_marginal_pca,stimulus_time,true_decision_time_input,raw_map_output_energy,0.49677570098179646
test,balanced,separate_marginal_pca,stimulus_time,true_decision_time_input,decoder_score_energy,0.49677570098179669
test,balanced,separate_marginal_pca,stimulus_time,true_interaction_time_input,raw_map_output_energy,0.019748747007382578
test,balanced,separate_marginal_pca,stimulus_time,true_interaction_time_input,decoder_score_energy,0.019748747007382581
test,balanced,separate_marginal_pca,stimulus_time,true_time_input,normalized_confusion_fraction,0.019278566335227957
test,balanced,separate_marginal_pca,stimulus_time,true_stimulus_time_input,normalized_confusion_fraction,0.96707997471595741
test,balanced,separate_marginal_pca,stimulus_time,true_decision_time_input,normalized_confusion_fraction,0.013119892694515389
test,balanced,separate_marginal_pca,stimulus_time,true_interaction_time_input,normalized_confusion_fraction,0.00052156625429931338
test,balanced,separate_marginal_pca,stimulus_time,true_marginal_inputs,assigned_marginal_fraction,0.96707997471595741
test,balanced,separate_marginal_pca,stimulus_time,true_marginal_inputs,demixing_index,0.96707997471595741
test,balanced,separate_marginal_pca,decision_time,true_time_input,raw_map_output_energy,0.20254302580251524
test,balanced,separate_marginal_pca,decision_time,true_time_input,decoder_score_energy,0.20254302580251518
test,balanced,separate_marginal_pca,decision_time,true_stimulus_time_input,raw_map_output_energy,0.662329380018995
test,balanced,separate_marginal_pca,decision_time,true_stimulus_time_input,decoder_score_energy,0.66232938001899488
test,balanced,separate_marginal_pca,decision_time,true_decision_time_input,raw_map_output_energy,26.175770007975238
test,balanced,separate_marginal_pca,decision_time,true_decision_time_input,decoder_score_energy,26.175770007975238
test,balanced,separate_marginal_pca,decision_time,true_interaction_time_input,raw_map_output_energy,0.28808651632241222
test,balanced,separate_marginal_pca,decision_time,true_interaction_time_input,decoder_score_energy,0.28808651632241222
test,balanced,separate_marginal_pca,decision_time,true_time_input,normalized_confusion_fraction,0.0074113591715307073
test,balanced,separate_marginal_pca,decision_time,true_stimulus_time_input,normalized_confusion_fraction,0.024235645269584334
test,balanced,separate_marginal_pca,decision_time,true_decision_time_input,normalized_confusion_fraction,0.95781146920180249
test,balanced,separate_marginal_pca,decision_time,true_interaction_time_input,normalized_confusion_fraction,0.010541526357082429
test,balanced,separate_marginal_pca,decision_time,true_marginal_inputs,assigned_marginal_fraction,0.95781146920180249
test,balanced,separate_marginal_pca,decision_time,true_marginal_inputs,demixing_index,0.95781146920180249
test,balanced,separate_marginal_pca,interaction_time,true_time_input,raw_map_output_energy,1.5577669144220181
test,balanced,separate_marginal_pca,interaction_time,true_time_input,decoder_score_energy,1.5577669144220179
test,balanced,separate_marginal_pca,interaction_time,true_stimulus_time_input,raw_map_output_energy,0.12266892121927288
test,balanced,separate_marginal_pca,interaction_time,true_stimulus_time_input,decoder_score_energy,0.12266892121927282
test,balanced,separate_marginal_pca,interaction_time,true_decision_time_input,raw_map_output_energy,1.0473554827551153
test,balanced,separate_marginal_pca,interaction_time,true_decision_time_input,decoder_score_energy,1.047355482755115
test,balanced,separate_marginal_pca,interaction_time,true_interaction_time_input,raw_map_output_energy,6.5099227997893534
test,balanced,separate_marginal_pca,interaction_time,true_interaction_time_input,decoder_score_energy,6.5099227997893525
test,balanced,separate_marginal_pca,interaction_time,true_time_input,normalized_confusion_fraction,0.16863121054540228
test,balanced,separate_marginal_pca,interaction_time,true_stimulus_time_input,normalized_confusion_fraction,0.013279142399284859
test,balanced,separate_marginal_pca,interaction_time,true_decision_time_input,normalized_confusion_fraction,0.11337820908456632
