split,condition,parameter_source,method,inference_target,region,metric,value
train,correct_model,known_true,kalman_filter,online_state,all,latent_rmse,0.36625239014772876
train,correct_model,known_true,kalman_filter,online_state,all,interval_95_coverage,0.94791666666666663
train,correct_model,known_true,kalman_filter,online_state,all,mean_posterior_variance,0.13196395794704122
train,correct_model,known_true,rts_smoother,retrospective_state,all,latent_rmse,0.31750873413549868
train,correct_model,known_true,rts_smoother,retrospective_state,all,interval_95_coverage,0.94999999999999996
train,correct_model,known_true,rts_smoother,retrospective_state,all,mean_posterior_variance,0.10111147150416747
train,correct_model,baseline,stationary_mean,point_state,all,latent_rmse,0.64960960603281259
train,correct_model,baseline,persistence,point_state,all,latent_rmse,0.65046349185353824
train,correct_model,known_true,open_loop,point_state,all,latent_rmse,0.64708499966573019
train,correct_model,known_true,kalman_filter,one_step_observation,observed,predictive_nll,1.2282057334602992
train,correct_model,known_true,kalman_filter,innovation,observed,innovation_mean,-0.016089131670393487
train,correct_model,known_true,kalman_filter,innovation,observed,innovation_variance,1.1338499473793249
train,correct_model,known_true,kalman_filter,innovation,observed,innovation_lag1,0.0076165816963261086
train,learned_grid,selected_train_validation,kalman_filter,online_state,all,latent_rmse,0.36625239014772876
train,learned_grid,selected_train_validation,kalman_filter,online_state,all,interval_95_coverage,0.94791666666666663
train,learned_grid,selected_train_validation,kalman_filter,online_state,all,mean_posterior_variance,0.13196395794704122
train,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,latent_rmse,0.31750873413549868
train,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,interval_95_coverage,0.94999999999999996
train,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,mean_posterior_variance,0.10111147150416747
train,learned_grid,baseline,stationary_mean,point_state,all,latent_rmse,0.64960960603281259
train,learned_grid,baseline,persistence,point_state,all,latent_rmse,0.65046349185353824
train,learned_grid,selected_train_validation,open_loop,point_state,all,latent_rmse,0.64708499966573019
train,learned_grid,selected_train_validation,kalman_filter,one_step_observation,observed,predictive_nll,1.2282057334602992
train,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_mean,-0.016089131670393487
train,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_variance,1.1338499473793249
train,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_lag1,0.0076165816963261086
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,latent_rmse,0.49925907232713834
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,interval_95_coverage,0.70104166666666667
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,mean_posterior_variance,0.068022578739519488
train,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,latent_rmse,0.44049870107699923
train,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,interval_95_coverage,0.72499999999999998
train,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,mean_posterior_variance,0.058630840756884607
train,q_too_small_r_too_large,baseline,stationary_mean,point_state,all,latent_rmse,0.64960960603281259
train,q_too_small_r_too_large,baseline,persistence,point_state,all,latent_rmse,0.65046349185353824
train,q_too_small_r_too_large,predeclared_wrong,open_loop,point_state,all,latent_rmse,0.64733032947675395
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,one_step_observation,observed,predictive_nll,1.2897966000213661
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_mean,-0.0326243644048234
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_variance,0.87493015305343413
train,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_lag1,0.26711695702619703
