split,condition,preprocessing,method,target,metric,value
train,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_mse,1.6099097564830933
train,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_r2,0.47351526076862893
train,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_mse,1.6183322391736066
train,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_r2,0.47076087743432171
train,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_mse,3.0064120108359385
train,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_r2,0.016820640304229695
validation,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_mse,3.9776044563195456
validation,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_r2,0.26881857477742588
validation,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_mse,3.9857863132607467
validation,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_r2,0.2673145484507935
validation,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_mse,5.3833920031743432
validation,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_r2,0.010400284734445098
test,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_mse,2.8441829469266406
test,positive_full_arc,train_fit,unrestricted,heldout_derivative,derivative_r2,0.33808540128157394
test,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_mse,2.8516250621364105
test,positive_full_arc,train_fit,skew_constrained,heldout_derivative,derivative_r2,0.33635342946590219
test,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_mse,4.2425773351226459
test,positive_full_arc,train_fit,symmetric_constrained,heldout_derivative,derivative_r2,0.012643023774508433
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,plane_occupancy,0.40005316569156663
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,tangential_energy,10.416137109612039
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,radial_energy,3.0243032662629772
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,tangential_radial_energy_ratio,3.4441443838675894
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,perpendicular_fraction_within_15deg,0.32291666666666669
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_span_mean_radians,4.7448795634072614
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_span_median_radians,4.7442635459867422
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_span_min_radians,4.6298124526437521
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_span_max_radians,4.8269661619447621
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,signed_direction_consistency,1
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_signed_angular_rate_mean,2.0104869102416583
test,positive_full_arc,train_fit,skew_plane_1,projected_trajectory,condition_signed_angular_rate_sd,0.035084218209332739
test,positive_full_arc,train_fit,skew_plane_1,condition_0,condition_span_radians,4.7331114591578949
test,positive_full_arc,train_fit,skew_plane_1,condition_1,condition_span_radians,4.772096979750871
test,positive_full_arc,train_fit,skew_plane_1,condition_2,condition_span_radians,4.7966322229754947
test,positive_full_arc,train_fit,skew_plane_1,condition_3,condition_span_radians,4.7118901388118317
test,positive_full_arc,train_fit,skew_plane_1,condition_4,condition_span_radians,4.8269661619447621
test,positive_full_arc,train_fit,skew_plane_1,condition_5,condition_span_radians,4.6298124526437521
test,positive_full_arc,train_fit,skew_plane_1,condition_6,condition_span_radians,4.7523242470478415
test,positive_full_arc,train_fit,skew_plane_1,condition_7,condition_span_radians,4.7362028449256428
test,positive_full_arc,train_fit,skew_plane_1,skew_generator,signed_rate,1.9944260899656587
test,positive_full_arc,train_fit,skew_plane_1,skew_generator,absolute_rate,1.9944260899656587
test,positive_full_arc,train_fit,skew_plane_2,projected_trajectory,plane_occupancy,0.55164523886209194
test,positive_full_arc,train_fit,skew_plane_2,projected_trajectory,tangential_energy,4.2523002380256383
test,positive_full_arc,train_fit,skew_plane_2,projected_trajectory,radial_energy,2.5881591134260304
test,positive_full_arc,train_fit,skew_plane_2,projected_trajectory,tangential_radial_energy_ratio,1.642982541516441
test,positive_full_arc,train_fit,skew_plane_2,projected_trajectory,perpendicular_fraction_within_15deg,0.18333333333333332
