split,condition,preprocessing,method,target,metric,value
test,matched_diagonal,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1285682719362791
test,matched_diagonal,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0740822666254801
test,matched_diagonal,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0008620962813679
test,matched_diagonal,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1356373044317984
test,matched_diagonal,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0504118339303894
test,matched_diagonal,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1337231833720109
test,matched_diagonal,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,1.2745692539614151
test,matched_diagonal,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,1.4282842022420734
test,matched_diagonal,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1588229729153188
test,matched_diagonal,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.56068375439318308
test,matched_diagonal,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.60847174776511748
test,matched_diagonal,center_train_only,ppca,observable_covariance,heldout_gaussian_nll,11.667464790345239
population,matched_diagonal,none,ppca,observable_covariance,relative_frobenius_error,0.19990787867933726
population,matched_diagonal,none,ppca,residual_covariance,offdiagonal_rmse,0
test,matched_diagonal,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.65645733051382849
test,matched_diagonal,center_train_only,fa_selected,observable_covariance,heldout_gaussian_nll,10.960264040514712
population,matched_diagonal,none,fa_selected,observable_covariance,relative_frobenius_error,0.061744266336566753
population,matched_diagonal,none,fa_selected,residual_covariance,offdiagonal_rmse,0
test,matched_diagonal,center_train_only,oracle_true_gaussian,original_coordinate_reconstruction,heldout_reconstruction_mse,0.65026958978577598
test,matched_diagonal,center_train_only,oracle_true_gaussian,observable_covariance,heldout_gaussian_nll,10.941333080148045
population,matched_diagonal,none,oracle_true_gaussian,observable_covariance,relative_frobenius_error,0
population,matched_diagonal,none,oracle_true_gaussian,residual_covariance,offdiagonal_rmse,0
test,matched_diagonal,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_mean,1.1139791729341058
test,matched_diagonal,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_minimum,1.0008620962813679
test,matched_diagonal,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_maximum,1.2745692539614151
test,matched_diagonal,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_standard_deviation,0.080435386041637233
train,matched_diagonal,center_train_only,pca,population_principal_subspace,principal_angle_max_degrees,3.6975371314067424
train,matched_diagonal,center_train_only,pca,population_principal_subspace,principal_angle_rms_degrees,2.6184951308007123
train,matched_diagonal,center_train_only,ppca,population_principal_subspace,principal_angle_max_degrees,3.6975371314067424
train,matched_diagonal,center_train_only,ppca,population_principal_subspace,principal_angle_rms_degrees,2.6184951308007123
train,matched_diagonal,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_max_degrees,3.9800444724481685
train,matched_diagonal,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_rms_degrees,2.9810229810317312
train,matched_diagonal,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_rmse,0.057416074864349548
train,matched_diagonal,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_relative_error,0.066845400873537603
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_floor,1.0000000000000001e-05
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_restart,0
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_iterations,61
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_converged,1
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_train_nll,10.865440145608151
validation,matched_diagonal,center_train_only,fa_selected,bounded_multistart_selection,selected_validation_nll,10.626747716404186
test,repeated_signal_eigenvalues,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,0.73418614385580738
test,repeated_signal_eigenvalues,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,0.64574221308114099
test,repeated_signal_eigenvalues,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,0.57558645876424408
test,repeated_signal_eigenvalues,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,0.82980226297538118
test,repeated_signal_eigenvalues,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,0.71712893846393311
test,repeated_signal_eigenvalues,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,0.62743598349878404
test,repeated_signal_eigenvalues,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,0.84227807021472478
test,repeated_signal_eigenvalues,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,0.94658557144115951
test,repeated_signal_eigenvalues,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,0.71170390344241519
test,repeated_signal_eigenvalues,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.22393485389128395
test,repeated_signal_eigenvalues,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.23025094391101153
test,repeated_signal_eigenvalues,center_train_only,ppca,observable_covariance,heldout_gaussian_nll,8.7954699438302892
population,repeated_signal_eigenvalues,none,ppca,observable_covariance,relative_frobenius_error,0.088686028324409735
population,repeated_signal_eigenvalues,none,ppca,residual_covariance,offdiagonal_rmse,0
test,repeated_signal_eigenvalues,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.23028582564895908
test,repeated_signal_eigenvalues,center_train_only,fa_selected,observable_covariance,heldout_gaussian_nll,8.8033398838551982
population,repeated_signal_eigenvalues,none,fa_selected,observable_covariance,relative_frobenius_error,0.089213383859846812
population,repeated_signal_eigenvalues,none,fa_selected,residual_covariance,offdiagonal_rmse,0
test,repeated_signal_eigenvalues,center_train_only,oracle_true_gaussian,original_coordinate_reconstruction,heldout_reconstruction_mse,0.23014102697411823
test,repeated_signal_eigenvalues,center_train_only,oracle_true_gaussian,observable_covariance,heldout_gaussian_nll,8.7756996574128667
population,repeated_signal_eigenvalues,none,oracle_true_gaussian,observable_covariance,relative_frobenius_error,0
population,repeated_signal_eigenvalues,none,oracle_true_gaussian,residual_covariance,offdiagonal_rmse,0
test,repeated_signal_eigenvalues,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_mean,0.71030858155057364
test,repeated_signal_eigenvalues,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_minimum,0.57558645876424408
test,repeated_signal_eigenvalues,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_maximum,0.84227807021472478
test,repeated_signal_eigenvalues,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_standard_deviation,0.093730674123892813
train,repeated_signal_eigenvalues,center_train_only,pca,population_principal_subspace,principal_angle_max_degrees,1.4458818953948531
train,repeated_signal_eigenvalues,center_train_only,pca,population_principal_subspace,principal_angle_rms_degrees,1.2308316107593387
train,repeated_signal_eigenvalues,center_train_only,ppca,population_principal_subspace,principal_angle_max_degrees,1.4458818953948531
train,repeated_signal_eigenvalues,center_train_only,ppca,population_principal_subspace,principal_angle_rms_degrees,1.2308316107593387
train,repeated_signal_eigenvalues,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_max_degrees,1.1791605353174162
train,repeated_signal_eigenvalues,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_rms_degrees,1.0569885515952644
train,repeated_signal_eigenvalues,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_rmse,0.027164873367684764
train,repeated_signal_eigenvalues,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_relative_error,0.090549577892282546
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_floor,1.0000000000000001e-05
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_restart,0
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_iterations,12
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_converged,1
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_train_nll,8.8059406122539912
validation,repeated_signal_eigenvalues,center_train_only,fa_selected,bounded_multistart_selection,selected_validation_nll,8.9402895289204949
test,near_zero_uniqueness,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,0.57278113507618333
test,near_zero_uniqueness,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,0.53086738004534084
test,near_zero_uniqueness,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,0.46411476522607481
test,near_zero_uniqueness,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,0.61817099673070675
test,near_zero_uniqueness,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,0.4752984714201357
test,near_zero_uniqueness,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,0.49995276147159223
test,near_zero_uniqueness,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,0.65171925546762755
test,near_zero_uniqueness,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,0.68865916440491148
test,near_zero_uniqueness,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,0.4816998045115834
test,near_zero_uniqueness,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.025160148128058786
test,near_zero_uniqueness,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.025296891754060965
test,near_zero_uniqueness,center_train_only,ppca,observable_covariance,heldout_gaussian_nll,2.0683946918039573
population,near_zero_uniqueness,none,ppca,observable_covariance,relative_frobenius_error,0.040338229309411916
population,near_zero_uniqueness,none,ppca,residual_covariance,offdiagonal_rmse,0
test,near_zero_uniqueness,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.030768616646913965
test,near_zero_uniqueness,center_train_only,fa_selected,observable_covariance,heldout_gaussian_nll,-4.4222066834403195
population,near_zero_uniqueness,none,fa_selected,observable_covariance,relative_frobenius_error,0.036986695005282184
population,near_zero_uniqueness,none,fa_selected,residual_covariance,offdiagonal_rmse,0
test,near_zero_uniqueness,center_train_only,oracle_true_gaussian,original_coordinate_reconstruction,heldout_reconstruction_mse,0.030652723537386489
test,near_zero_uniqueness,center_train_only,oracle_true_gaussian,observable_covariance,heldout_gaussian_nll,-4.4439159574145108
population,near_zero_uniqueness,none,oracle_true_gaussian,observable_covariance,relative_frobenius_error,0
population,near_zero_uniqueness,none,oracle_true_gaussian,residual_covariance,offdiagonal_rmse,0
test,near_zero_uniqueness,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_mean,0.54470068077680878
test,near_zero_uniqueness,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_minimum,0.46411476522607481
test,near_zero_uniqueness,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_maximum,0.65171925546762755
test,near_zero_uniqueness,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_standard_deviation,0.066701753573961201
train,near_zero_uniqueness,center_train_only,pca,population_principal_subspace,principal_angle_max_degrees,1.3028279717174409
train,near_zero_uniqueness,center_train_only,pca,population_principal_subspace,principal_angle_rms_degrees,0.9759673743727173
train,near_zero_uniqueness,center_train_only,ppca,population_principal_subspace,principal_angle_max_degrees,1.3028279717174409
train,near_zero_uniqueness,center_train_only,ppca,population_principal_subspace,principal_angle_rms_degrees,0.9759673743727173
train,near_zero_uniqueness,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_max_degrees,1.1398502469434952
train,near_zero_uniqueness,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_rms_degrees,0.86421817008716739
train,near_zero_uniqueness,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_rmse,0.0041345912257498172
train,near_zero_uniqueness,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_relative_error,0.077447967495087588
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_floor,1.0000000000000001e-05
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_restart,0
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_iterations,250
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_converged,0
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_train_nll,-4.3634406275244277
validation,near_zero_uniqueness,center_train_only,fa_selected,bounded_multistart_selection,selected_validation_nll,-4.3057909354046231
test,correlated_residuals,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0836550764645922
test,correlated_residuals,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0273888227128896
test,correlated_residuals,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,1.013419968095419
test,correlated_residuals,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1141207928962138
test,correlated_residuals,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,0.9166858074300781
test,correlated_residuals,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0830781252100119
test,correlated_residuals,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,1.2436294378987607
test,correlated_residuals,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,1.3771481892726496
test,correlated_residuals,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1035980357927397
test,correlated_residuals,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.51246734590917098
test,correlated_residuals,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.5413696134168311
test,correlated_residuals,center_train_only,ppca,observable_covariance,heldout_gaussian_nll,11.416613551414839
population,correlated_residuals,none,ppca,observable_covariance,relative_frobenius_error,0.25476642535372518
population,correlated_residuals,none,ppca,residual_covariance,offdiagonal_rmse,0.17879476328616226
test,correlated_residuals,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.62019443430235288
test,correlated_residuals,center_train_only,fa_selected,observable_covariance,heldout_gaussian_nll,10.601400829322667
population,correlated_residuals,none,fa_selected,observable_covariance,relative_frobenius_error,0.24029335977762697
population,correlated_residuals,none,fa_selected,residual_covariance,offdiagonal_rmse,0.17879476328616226
test,correlated_residuals,center_train_only,oracle_true_gaussian,original_coordinate_reconstruction,heldout_reconstruction_mse,0.60244686704036987
test,correlated_residuals,center_train_only,oracle_true_gaussian,observable_covariance,heldout_gaussian_nll,10.275038713137786
population,correlated_residuals,none,oracle_true_gaussian,observable_covariance,relative_frobenius_error,0
population,correlated_residuals,none,oracle_true_gaussian,residual_covariance,offdiagonal_rmse,0
test,correlated_residuals,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_mean,1.0688540043868522
test,correlated_residuals,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_minimum,0.9166858074300781
test,correlated_residuals,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_maximum,1.2436294378987607
test,correlated_residuals,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_standard_deviation,0.093323083566836593
train,correlated_residuals,center_train_only,pca,population_principal_subspace,principal_angle_max_degrees,10.265737703973187
train,correlated_residuals,center_train_only,pca,population_principal_subspace,principal_angle_rms_degrees,7.3482453892845205
train,correlated_residuals,center_train_only,ppca,population_principal_subspace,principal_angle_max_degrees,10.265737703973187
train,correlated_residuals,center_train_only,ppca,population_principal_subspace,principal_angle_rms_degrees,7.3482453892845205
train,correlated_residuals,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_max_degrees,11.213255062291855
train,correlated_residuals,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_rms_degrees,8.3243536967121585
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_floor,1.0000000000000001e-05
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_restart,2
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_iterations,113
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_converged,1
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_train_nll,10.732813169712234
validation,correlated_residuals,center_train_only,fa_selected,bounded_multistart_selection,selected_validation_nll,10.769336305537536
test,high_variance_nuisance,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,1.338254696706314
test,high_variance_nuisance,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,1.7898904792502126
test,high_variance_nuisance,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,1.4315804874393943
test,high_variance_nuisance,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,1.4688057264949312
test,high_variance_nuisance,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,1.5641252759107551
test,high_variance_nuisance,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,1.871858213270807
test,high_variance_nuisance,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,1.9791046224843263
test,high_variance_nuisance,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,2.1474033668335859
test,high_variance_nuisance,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,1.8835318652248096
test,high_variance_nuisance,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.65152013642895634
test,high_variance_nuisance,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.68450395091235539
test,high_variance_nuisance,center_train_only,ppca,observable_covariance,heldout_gaussian_nll,12.637274983155763
population,high_variance_nuisance,none,ppca,observable_covariance,relative_frobenius_error,0.17878074546489886
population,high_variance_nuisance,none,ppca,residual_covariance,offdiagonal_rmse,0
test,high_variance_nuisance,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.72746090900718241
test,high_variance_nuisance,center_train_only,fa_selected,observable_covariance,heldout_gaussian_nll,12.157475952690806
population,high_variance_nuisance,none,fa_selected,observable_covariance,relative_frobenius_error,0.152075907826312
population,high_variance_nuisance,none,fa_selected,residual_covariance,offdiagonal_rmse,0
test,high_variance_nuisance,center_train_only,oracle_true_gaussian,original_coordinate_reconstruction,heldout_reconstruction_mse,1.4100369008062859
test,high_variance_nuisance,center_train_only,oracle_true_gaussian,observable_covariance,heldout_gaussian_nll,11.606970390273853
population,high_variance_nuisance,none,oracle_true_gaussian,observable_covariance,relative_frobenius_error,0
population,high_variance_nuisance,none,oracle_true_gaussian,residual_covariance,offdiagonal_rmse,0
test,high_variance_nuisance,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_mean,1.6348027859366774
test,high_variance_nuisance,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_minimum,1.338254696706314
test,high_variance_nuisance,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_maximum,1.9791046224843263
test,high_variance_nuisance,center_train_only,random_projection,original_coordinate_reconstruction,heldout_reconstruction_mse_standard_deviation,0.22696180575325042
train,high_variance_nuisance,center_train_only,pca,population_principal_subspace,principal_angle_max_degrees,4.6292124485088912
train,high_variance_nuisance,center_train_only,pca,population_principal_subspace,principal_angle_rms_degrees,3.44041473739283
train,high_variance_nuisance,center_train_only,ppca,population_principal_subspace,principal_angle_max_degrees,4.6292124485088912
train,high_variance_nuisance,center_train_only,ppca,population_principal_subspace,principal_angle_rms_degrees,3.44041473739283
train,high_variance_nuisance,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_max_degrees,85.840465122177861
train,high_variance_nuisance,center_train_only,fa_selected,true_common_loading_subspace,principal_angle_rms_degrees,60.722519938059968
train,high_variance_nuisance,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_rmse,2.3840183834773265
train,high_variance_nuisance,center_train_only,fa_selected,identified_diagonal_uniqueness,uniqueness_relative_error,0.87349391530728404
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_floor,1.0000000000000001e-05
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_restart,0
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_iterations,250
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_converged,0
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_train_nll,12.100494256154601
validation,high_variance_nuisance,center_train_only,fa_selected,bounded_multistart_selection,selected_validation_nll,12.098709476064705
test,outliers,center_train_only,random_projection_0,original_coordinate_reconstruction,heldout_reconstruction_mse,1.2550502496510139
test,outliers,center_train_only,random_projection_1,original_coordinate_reconstruction,heldout_reconstruction_mse,1.1691184333260354
test,outliers,center_train_only,random_projection_2,original_coordinate_reconstruction,heldout_reconstruction_mse,1.0975977016324223
test,outliers,center_train_only,random_projection_3,original_coordinate_reconstruction,heldout_reconstruction_mse,1.2479673543395939
test,outliers,center_train_only,random_projection_4,original_coordinate_reconstruction,heldout_reconstruction_mse,1.2004733143674506
test,outliers,center_train_only,random_projection_5,original_coordinate_reconstruction,heldout_reconstruction_mse,1.230002573387204
test,outliers,center_train_only,random_projection_6,original_coordinate_reconstruction,heldout_reconstruction_mse,1.3966251569908132
test,outliers,center_train_only,mean,original_coordinate_reconstruction,heldout_reconstruction_mse,1.5961346675722876
test,outliers,center_train_only,fixed_projection,original_coordinate_reconstruction,heldout_reconstruction_mse,1.3102726718712301
test,outliers,center_train_only,pca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.6959019385841968
test,outliers,center_train_only,ppca,original_coordinate_reconstruction,heldout_reconstruction_mse,0.76622809221155452
test,outliers,center_train_only,ppca,contaminated_observation_distribution_gaussian_score,heldout_gaussian_nll,12.387155281026955
population,outliers,none,ppca,nominal_clean_gaussian_covariance,relative_frobenius_error,0.27870187978802352
population,outliers,none,ppca,nominal_clean_gaussian_residual_covariance,offdiagonal_rmse,0
test,outliers,center_train_only,fa_selected,original_coordinate_reconstruction,heldout_reconstruction_mse,0.80752640970161227
test,outliers,center_train_only,fa_selected,contaminated_observation_distribution_gaussian_score,heldout_gaussian_nll,12.010720175816299
population,outliers,none,fa_selected,nominal_clean_gaussian_covariance,relative_frobenius_error,0.20729279730016709
