dt,sigma,replicate,model,output,feature,coefficient,true_coefficient
0.025,0,0,cubic,dx,1,0.000107609453823,0
0.025,0,0,cubic,dx,x,0.99455570848,1
0.025,0,0,cubic,dx,y,-1.99656219775,-2
0.025,0,0,cubic,dx,x2,-0.00017346334826,0
0.025,0,0,cubic,dx,xy,0.000229611667716,0
0.025,0,0,cubic,dx,y2,-0.000215633970635,0
0.025,0,0,cubic,dx,x3,-0.994919460093,-1
0.025,0,0,cubic,dx,x2y,-0.00335375875723,0
0.025,0,0,cubic,dx,xy2,-0.995130920332,-1
0.025,0,0,cubic,dx,y3,-0.00332376291192,0
0.025,0,0,cubic,dy,1,0.000858879364336,0
0.025,0,0,cubic,dy,x,1.99522674192,2
0.025,0,0,cubic,dy,y,0.994952263315,1
0.025,0,0,cubic,dy,x2,-0.00080560803756,0
0.025,0,0,cubic,dy,xy,0.000346090561328,0
0.025,0,0,cubic,dy,y2,-0.00079431084203,0
0.025,0,0,cubic,dy,x3,0.00478372762161,0
0.025,0,0,cubic,dy,x2y,-0.995516960765,-1
0.025,0,0,cubic,dy,xy2,0.0045832669749,0
0.025,0,0,cubic,dy,y3,-0.995323627098,-1
0.025,0,0,affine,dx,1,0.00454077765704,0
0.025,0,0,affine,dx,x,0.0186670978018,1
0.025,0,0,affine,dx,y,-1.99883180879,-2
0.025,0,0,affine,dx,x2,0,0
0.025,0,0,affine,dx,xy,0,0
0.025,0,0,affine,dx,y2,0,0
0.025,0,0,affine,dx,x3,0,-1
0.025,0,0,affine,dx,x2y,0,0
0.025,0,0,affine,dx,xy2,0,-1
0.025,0,0,affine,dx,y3,0,0
0.025,0,0,affine,dy,1,0.0201178981787,0
0.025,0,0,affine,dy,x,2.00109771572,2
0.025,0,0,affine,dy,y,0.0168112750913,1
0.025,0,0,affine,dy,x2,0,0
0.025,0,0,affine,dy,xy,0,0
0.025,0,0,affine,dy,y2,0,0
0.025,0,0,affine,dy,x3,0,0
0.025,0,0,affine,dy,x2y,0,-1
0.025,0,0,affine,dy,xy2,0,0
0.025,0,0,affine,dy,y3,0,-1
0.025,0,0,permuted,dx,1,-0.118864139434,0
0.025,0,0,permuted,dx,x,0.183191132078,1
0.025,0,0,permuted,dx,y,-0.184797529158,-2
0.025,0,0,permuted,dx,x2,0.0464186909194,0
0.025,0,0,permuted,dx,xy,-0.0680889403427,0
0.025,0,0,permuted,dx,y2,0.0106325743868,0
0.025,0,0,permuted,dx,x3,-0.102193503732,-1
0.025,0,0,permuted,dx,x2y,0.233428278931,0
0.025,0,0,permuted,dx,xy2,-0.442196005154,-1
0.025,0,0,permuted,dx,y3,0.252036071418,0
0.025,0,0,permuted,dy,1,0.117470271207,0
0.025,0,0,permuted,dy,x,0.114084791527,2
0.025,0,0,permuted,dy,y,0.00484135679009,1
0.025,0,0,permuted,dy,x2,-0.0744226217703,0
0.025,0,0,permuted,dy,xy,-0.063680084153,0
0.025,0,0,permuted,dy,y2,-0.107371173467,0
0.025,0,0,permuted,dy,x3,-0.087411186018,0
0.025,0,0,permuted,dy,x2y,-0.20025086055,-1
0.025,0,0,permuted,dy,xy2,-0.319535800818,0
0.025,0,0,permuted,dy,y3,-0.0140898831701,-1
0.025,0.02,0,cubic,dx,1,-0.00406300360989,0
0.025,0.02,0,cubic,dx,x,0.994449578663,1
