dt,sigma,replicate,split,model,unit,metric,value
0.025,0,0,grid,cubic,grid,field_nrmse,0.00274571942705
0.025,0,0,coefficients,cubic,model,coefficient_error,0.0042229992626
0.025,0,0,grid,affine,grid,field_nrmse,0.45370144142
0.025,0,0,coefficients,affine,model,coefficient_error,0.650829265073
0.025,0,0,grid,permuted,grid,field_nrmse,1.05446206459
0.025,0,0,coefficients,permuted,model,coefficient_error,0.907180951978
0.025,0,0,test,smoother,traj_000,state_rmse,0.000260388877096
0.025,0,0,test,smoother,traj_001,state_rmse,0.000260137435198
0.025,0,0,test,smoother,traj_002,state_rmse,0.000279368832302
0.025,0,0,test,smoother,traj_003,state_rmse,0.000284766056091
0.025,0,0,test,smoother,traj_004,state_rmse,0.000257151601457
0.025,0,0,test,smoother,traj_005,state_rmse,0.000281821554726
0.025,0,0,test,smoother,traj_006,state_rmse,0.000258241246596
0.025,0,0,test,smoother,traj_007,state_rmse,0.000280559106335
0.025,0,0,test,smoother,traj_008,state_rmse,0.000284436761203
0.025,0,0,test,smoother,traj_009,state_rmse,0.000263624614923
0.025,0,0,test,smoother,traj_010,state_rmse,0.00025962583292
0.025,0,0,test,smoother,traj_011,state_rmse,0.000278561082346
0.025,0,0,test,smoother,traj_012,state_rmse,0.000257694900319
0.025,0,0,test,smoother,traj_013,state_rmse,0.000275558925562
0.025,0,0,test,smoother,traj_014,state_rmse,0.000282298544132
0.025,0,0,test,smoother,traj_015,state_rmse,0.000277519123204
0.025,0,0,test,smoother,traj_016,state_rmse,0.000262547176746
0.025,0,0,test,smoother,traj_017,state_rmse,0.000262229950568
0.025,0,0,test,smoother,traj_018,state_rmse,0.000278778548271
0.025,0,0,test,smoother,traj_019,state_rmse,0.000284406026511
0.025,0,0,test,smoother,traj_020,state_rmse,0.000258843736213
0.025,0,0,test,smoother,traj_021,state_rmse,0.000280040281343
0.025,0,0,test,smoother,traj_022,state_rmse,0.000303145392014
0.025,0,0,test,smoother,traj_023,state_rmse,0.000258231456236
0.025,0,0,test,smoother,traj_024,state_rmse,0.000281164576727
0.025,0,0,test,smoother,traj_025,state_rmse,0.000275199837032
0.025,0,0,test,smoother,traj_026,state_rmse,0.000285247402547
0.025,0,0,test,smoother,traj_027,state_rmse,0.000276386566752
0.025,0,0,test,smoother,traj_028,state_rmse,0.000276229026815
0.025,0,0,test,smoother,traj_029,state_rmse,0.000260627895617
0.025,0,0,test,smoother,traj_030,state_rmse,0.000275641462749
0.025,0,0,test,smoother,traj_031,state_rmse,0.000284765662369
0.025,0,0,test,smoother,traj_032,state_rmse,0.000258239272255
0.025,0,0,test,smoother,traj_033,state_rmse,0.000262396769839
0.025,0,0,test,smoother,traj_034,state_rmse,0.000282825721027
0.025,0,0,test,smoother,traj_035,state_rmse,0.000275171972063
0.025,0,0,test,smoother,traj_036,state_rmse,0.000257058007089
0.025,0,0,test,smoother,traj_037,state_rmse,0.000279428571051
0.025,0,0,test,smoother,traj_038,state_rmse,0.000282963350834
0.025,0,0,test,smoother,traj_039,state_rmse,0.000275518653792
0.025,0,0,test,cubic,traj_000,one_step_rmse,1.25662401884e-05
0.025,0,0,test,cubic,traj_000,oracle_rollout_rmse,0.000284952396754
0.025,0,0,test,cubic,traj_000,observed_rollout_rmse,0.000613086851109
0.025,0,0,test,cubic,traj_000,oracle_radial_rmse,0.000187930105545
0.025,0,0,test,cubic,traj_000,observed_radial_rmse,0.000186864809884
0.025,0,0,test,cubic,traj_000,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_000,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_000,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_000,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_000,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_000,rollout_failure,0
0.025,0,0,test,cubic,traj_001,one_step_rmse,1.40981221664e-05
0.025,0,0,test,cubic,traj_001,oracle_rollout_rmse,0.00043344474739
0.025,0,0,test,cubic,traj_001,observed_rollout_rmse,0.000800588557982
0.025,0,0,test,cubic,traj_001,oracle_radial_rmse,0.000185343393442
0.025,0,0,test,cubic,traj_001,observed_radial_rmse,0.00018522006771
0.025,0,0,test,cubic,traj_001,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_001,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_001,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_001,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_001,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_001,rollout_failure,0
0.025,0,0,test,cubic,traj_002,one_step_rmse,1.92334609049e-05
0.025,0,0,test,cubic,traj_002,oracle_rollout_rmse,0.00167843545998
0.025,0,0,test,cubic,traj_002,observed_rollout_rmse,0.00142037904288
0.025,0,0,test,cubic,traj_002,oracle_radial_rmse,0.00031857514328
0.025,0,0,test,cubic,traj_002,observed_radial_rmse,0.000360483543488
0.025,0,0,test,cubic,traj_002,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_002,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_002,observed_rollout_failure,0
